NUM	B/D	DAY	MON	YEA	H	MN	SEC	Ci	TZ	LAT	LON
8171	B	20	07	1876	10	50	40		0	48N50	2E20
8172	D	08	01	1908	22	50	40	09	0	48N50	2E20
8173	B	13	04	1877	10	50	40		0	48N50	2E20
8174	D	20	06	1941	14	30	0	11	0	48N50	2E20
8175	B	03	10	1867	22	50	40		0	48N50	2E20
8176	D	19	02	1906	20	50	40	17	0	48N50	2E20
8177	B	25	02	1895	21	20	40		0	48N50	2E20
8178	D	26	06	1943	14	30	0	02	0	48N50	2E20
8179	B	22	12	1923	05	40	0		0	48N50	2E20
8180	D	23	12	1923	10	0	0	10	0	48N50	2E20
8181	B	11	01	1912	01	0	0		0	48N50	2E20
8182	D	25	04	1913	02	0	0	01	0	48N50	2E20
8183	B	28	08	1898	03	50	40		0	48N50	2E20
8184	D	22	08	1917	08	0	0	14	0	48N50	2E20
8185	B	15	04	1888	03	50	40		0	48N50	2E20
8186	D	22	09	1909	08	50	40	09	0	48N50	2E20
8187	B	24	04	1913	20	0	0		0	48N50	2E20
8188	D	03	05	1913	02	0	0	06	0	48N50	2E20
8189	B	01	07	1929	16	0	0		0	48N50	2E20
8190	D	20	04	1944	19	0	0	01	0	48N50	2E20
8191	B	20	04	1920	0	30	0		0	48N50	2E20
8192	D	12	09	1936	09	15	0	05	0	48N50	2E20
8193	B	09	08	1914	14	30	0		0	48N50	2E20
8194	D	05	09	1944	09	0	0	04	0	48N50	2E20
8195	B	01	10	1898	06	50	40		0	48N50	2E20
8196	D	20	10	1910	06	50	40	13	0	48N50	2E20
8197	B	21	07	1940	11	0	0		0	48N50	2E20
8198	D	22	07	1940	20	0	0	09	0	48N50	2E20
8199	B	18	05	1912	15	0	0		0	48N50	2E20
8200	D	14	04	1913	03	0	0	06	0	48N50	2E20
8201	B	30	06	1893	11	50	40		0	48N50	2E20
8202	D	18	08	1953	12	15	0	03	-1	48N50	2E20
8203	B	20	01	1874	01	20	40		0	48N50	2E20
8204	D	03	12	1949	03	0	0	06	-1	48N50	2E20
8205	B	11	11	1883	02	50	40		0	48N50	2E20
8206	D	04	05	1924	18	20	0	02	0	48N50	2E20
8207	B	13	05	1896	22	50	40		0	48N50	2E20
8208	D	16	07	1948	12	15	0	07	-1	48N50	2E20
8209	B	17	10	1867	21	50	40		0	48N50	2E20
8210	D	03	02	1912	22	0	0	06	0	48N50	2E20
8211	B	17	08	1876	04	50	40		0	48N50	2E20
8212	D	23	06	1944	15	0	0	09	0	48N50	2E20
8213	B	21	10	1899	13	50	40		0	48N50	2E20
8214	D	10	01	1937	02	0	0	14	0	48N50	2E20
8215	B	04	12	1922	13	0	0		0	48N50	2E20
8216	D	03	12	1923	03	0	0	03	0	48N50	2E20
8217	B	22	11	1884	03	50	40		0	48N50	2E20
8218	D	10	12	1945	02	30	0	00	-1	48N50	2E20
8219	B	24	02	1934	06	45	0		0	48N50	2E20
8220	D	21	10	1934	05	0	0	06	0	48N50	2E20
8221	B	09	12	1914	12	0	0		0	48N50	2E20
8222	D	11	03	1915	06	0	0	06	0	48N50	2E20
8223	B	24	11	1910	0	50	40		0	48N50	2E20
8224	D	01	12	1910	06	50	40	09	0	48N50	2E20
8225	B	24	10	1862	18	50	40		0	48N50	2E20
8226	D	10	06	1933	13	30	0	03	0	48N50	2E20
8227	B	17	07	1904	16	50	40		0	48N50	2E20
8228	D	09	08	1904	19	50	40	01	0	48N50	2E20
8229	B	26	10	1913	21	0	0		0	48N50	2E20
8230	D	26	11	1913	04	0	0	05	0	48N50	2E20
8231	B	23	08	1899	02	50	40		0	48N50	2E20
8232	D	15	07	1900	23	50	40	02	0	48N50	2E20
8233	B	11	07	1914	23	0	0		0	48N50	2E20
8234	D	06	04	1915	05	30	0	04	0	48N50	2E20
8235	B	10	10	1913	23	0	0		0	48N50	2E20
8236	D	20	06	1926	14	0	0	00	0	48N50	2E20
8237	B	09	03	1914	11	30	0		0	48N50	2E20
8238	D	20	08	1945	10	0	0	00	0	48N50	2E20
8239	B	14	05	1914	20	15	0		0	48N50	2E20
8240	D	29	11	1914	12	0	0	07	0	48N50	2E20
8241	B	02	01	1915	16	0	0		0	48N50	2E20
8242	D	18	07	1952	13	30	0	04	-1	48N50	2E20
8243	B	26	02	1924	0	30	0		0	48N50	2E20
8244	D	24	03	1925	04	30	0	05	0	48N50	2E20
8245	B	20	12	1901	09	50	40		0	48N50	2E20
8246	D	07	05	1916	17	0	0	07	0	48N50	2E20
8247	B	26	05	1890	12	10	40		0	48N50	2E20
8248	D	10	08	1905	08	50	40	01	0	48N50	2E20
8249	B	15	08	1893	08	35	40		0	48N50	2E20
8250	D	07	07	1944	13	30	0	05	0	48N50	2E20
8251	B	24	04	1883	04	50	40		0	48N50	2E20
8252	D	15	09	1952	10	0	0	07	-1	48N50	2E20
8253	B	07	07	1884	12	50	40		0	48N50	2E20
8254	D	04	10	1906	07	50	40	06	0	48N50	2E20
8255	B	01	04	1892	02	20	40		0	48N50	2E20
8256	D	29	11	1946	02	30	0	00	-1	48N50	2E20
8257	B	20	04	1871	21	50	40		0	48N50	2E20
8258	D	29	06	1908	04	50	40	06	0	48N50	2E20
8259	B	20	02	1884	05	50	40		0	48N50	2E20
8260	D	01	01	1946	11	30	0	06	-1	48N50	2E20
8261	B	01	01	1930	09	0	0		0	48N50	2E20
8262	D	05	05	1930	03	0	0	18	0	48N50	2E20
8263	B	12	04	1911	05	30	0		0	48N50	2E20
8264	D	21	04	1911	03	0	0	12	0	48N50	2E20
8265	B	20	09	1882	21	50	40		0	48N50	2E20
8266	D	20	05	1932	19	0	0	00	0	48N50	2E20
8267	B	02	08	1897	20	50	40		0	48N50	2E20
8268	D	15	08	1946	10	0	0	11	-1	48N50	2E20
8269	B	26	02	1908	06	50	40		0	48N50	2E20
8270	D	12	09	1948	21	0	0	10	-1	48N50	2E20
8271	B	19	02	1885	15	20	40		0	48N50	2E20
8272	D	03	04	1900	08	50	40	01	0	48N50	2E20
8273	B	23	02	1913	19	40	0		0	48N50	2E20
8274	D	01	03	1913	16	0	0	00	0	48N50	2E20
8275	B	21	10	1891	02	50	40		0	48N50	2E20
8276	D	01	10	1911	15	45	0	01	0	48N50	2E20
8277	B	01	07	1876	01	50	40		0	48N50	2E20
8278	D	23	11	1922	02	30	0	01	0	48N50	2E20
8279	B	12	11	1900	10	20	40		0	48N50	2E20
8280	D	06	03	1901	0	50	40	04	0	48N50	2E20
8281	B	06	09	1917	06	0	0		0	48N50	2E20
8282	D	25	07	1918	0	30	0	14	0	48N50	2E20
8283	B	04	08	1917	01	0	0		0	48N50	2E20
8284	D	03	06	1919	15	0	0	04	0	48N50	2E20
8285	B	15	07	1909	03	50	40		0	48N50	2E20
8286	D	11	03	1910	11	20	40	04	0	48N50	2E20
8287	B	20	03	1948	04	20	0		-1	48N50	2E20
